ImageID	ClassID
18339-31531-15817	teatre_principal
12487-11017-3187	desconegut
12628-28165-25479	catedral
24970-14942-21710	catedral
30042-22591-15462	societat_general
23706-19407-15700	farmacia_albinyana
19413-11201-30069	catedral
27903-8960-9168	dona_treballadora
3979-5543-25211	estacio_nord
294-22479-6089	societat_general
27345-28002-2099	desconegut
15366-3883-20063	estacio_nord
29370-25276-17381	teatre_principal
31446-2273-3499	masia_freixa
1191-29347-20825	mnactec
20182-22644-26533	ajuntament
7976-23108-22024	mercat_independencia
27605-17702-31125	masia_freixa
16978-5928-18066	masia_freixa
32438-3645-13641	societat_general
12378-4532-17764	farmacia_albinyana
2839-6217-31568	societat_general
1243-20302-19965	castell_cartoixa
19301-6965-8455	societat_general
20115-7356-31220	mnactec
11902-550-26501	estacio_nord
16950-23817-26280	farmacia_albinyana
27688-20348-104	masia_freixa
5568-32337-31553	ajuntament
5734-10646-20269	escola_enginyeria
30582-14825-10363	masia_freixa
2151-31016-25042	mercat_independencia
8991-31248-27909	mnactec
29795-6710-11720	dona_treballadora
1784-991-7383	mnactec
8102-608-557	masia_freixa
32382-8140-5394	estacio_nord
5459-31901-19213	farmacia_albinyana
19971-31154-6881	estacio_nord
27799-5591-22285	castell_cartoixa
18349-6056-24676	teatre_principal
11051-4523-25966	teatre_principal
25044-11720-11126	escola_enginyeria
5431-27459-13747	mnactec
12303-12638-14782	catedral
503-30315-9000	masia_freixa
7655-5800-15769	societat_general
27223-19943-22593	masia_freixa
1495-25495-5182	escola_enginyeria
5463-2625-17268	escola_enginyeria
3714-18069-18390	masia_freixa
1420-31497-2320	estacio_nord
27397-9193-25590	farmacia_albinyana
9216-7567-12894	masia_freixa
22881-23502-7687	mnactec
30429-25883-5686	ajuntament
32375-15531-14823	ajuntament
32600-19226-14445	estacio_nord
30716-22378-19084	catedral
14290-24568-10323	estacio_nord
27108-4197-19939	masia_freixa
12816-7637-32710	estacio_nord
31127-7586-14698	desconegut
16218-21955-18060	societat_general
29840-31704-14005	estacio_nord
